dim,budget,cp,power,alpha,exact,within1,mean_regret,median_regret
20,100,0.2,3.0,0.5,2,3,0.12668156667537742,0.08884728260606145
20,100,0.2,3.0,1.0,0,0,0.307462773522486,0.17482187665681032
20,250,0.01,1.0,0.0,47,47,0.00010570405481370435,0.0
20,250,0.01,1.0,0.25,47,48,0.00018656732686909234,0.0
20,250,0.01,1.0,0.5,47,48,9.067816655452525e-05,0.0
20,250,0.01,1.0,1.0,40,41,0.0006075333270567358,0.0
20,250,0.01,1.5,0.0,44,45,0.0003617211238570913,0.0
20,250,0.01,1.5,0.25,47,49,0.0003200170790254194,0.0
20,250,0.01,1.5,0.5,43,44,0.0006254742740001409,0.0
20,250,0.01,1.5,1.0,44,46,0.0008452453184500148,0.0
20,250,0.01,2.0,0.0,44,46,0.00012024248571668061,0.0
20,250,0.01,2.0,0.25,48,48,2.2478069211968114e-05,0.0
20,250,0.01,2.0,0.5,45,46,0.0003108502314657272,0.0
20,250,0.01,2.0,1.0,44,44,0.0004611307384641299,0.0
20,250,0.01,3.0,0.0,45,48,4.556290888639247e-05,0.0
20,250,0.01,3.0,0.25,48,48,0.00021053140338685072,0.0
20,250,0.01,3.0,0.5,48,48,6.200582544543046e-05,0.0
20,250,0.01,3.0,1.0,42,44,0.0007810580908046812,0.0
20,250,0.03,1.0,0.0,48,49,9.63934776614303e-05,0.0
20,250,0.03,1.0,0.25,45,45,0.0006287533141160553,0.0
20,250,0.03,1.0,0.5,41,41,0.0012266159629346232,0.0
20,250,0.03,1.0,1.0,40,40,0.0029104963887460504,0.0
20,250,0.03,1.5,0.0,45,45,0.0003679995664374456,0.0
20,250,0.03,1.5,0.25,43,43,0.0006020994297059441,0.0
20,250,0.03,1.5,0.5,39,41,0.002045312416080116,0.0
20,250,0.03,1.5,1.0,32,33,0.006854542005562858,0.0
20,250,0.03,2.0,0.0,44,46,0.0006063653828077257,0.0
20,250,0.03,2.0,0.25,44,46,0.0005553123307172838,0.0
20,250,0.03,2.0,0.5,41,43,0.0013015735757142292,0.0
