window,final_fn,elapsed,d_history
2,4.745959591633179,2.29176350007765,"[4, 3, 2]"
3,8.259198654377082,2.530047707958147,"[4, 3, 2]"
4,8.259198654377082,2.552858875133097,"[4, 3, 2]"
6,8.259198654377082,2.5114324998576194,"[4, 3, 2]"
8,8.259198654377082,2.521584624890238,"[4, 3, 2]"
12,8.259198654377082,2.5271087910514325,"[4, 3, 2]"
16,8.259198654377082,2.5231122081167996,"[4, 3, 2]"
