problem,window,mrep,final_fn,elapsed,status,error
ROSENBROCK-1,2,0,6.767744462553654,1.5010742500890046,completed,
ROSENBROCK-1,2,1,6.767744462553654,1.5475574999582022,completed,
ROSENBROCK-1,2,2,6.767744462553654,1.5490619170013815,completed,
ROSENBROCK-1,2,3,6.767744462553654,1.4971337921451777,completed,
ROSENBROCK-1,2,4,6.767744462553654,1.5028659999370575,completed,
ROSENBROCK-1,2,5,6.767744462553654,1.4905584999360144,completed,
ROSENBROCK-1,2,6,6.767744462553654,1.4992196669336408,completed,
ROSENBROCK-1,2,7,6.767744462553654,1.4976391659583896,completed,
ROSENBROCK-1,2,8,6.767744462553654,1.4934520840179175,completed,
ROSENBROCK-1,2,9,6.767744462553654,1.4905676250346005,completed,
ROSENBROCK-1,3,0,6.767744462553654,1.5548728748690337,completed,
ROSENBROCK-1,3,1,6.767744462553654,1.528113832930103,completed,
ROSENBROCK-1,3,2,6.767744462553654,1.5448941248469055,completed,
ROSENBROCK-1,3,3,6.767744462553654,1.5910267080180347,completed,
ROSENBROCK-1,3,4,6.767744462553654,1.6108581670559943,completed,
ROSENBROCK-1,3,5,6.767744462553654,1.594237165991217,completed,
ROSENBROCK-1,3,6,6.767744462553654,1.553158333990723,completed,
ROSENBROCK-1,3,7,6.767744462553654,1.5814542081207037,completed,
ROSENBROCK-1,3,8,6.767744462553654,1.5775546671357006,completed,
ROSENBROCK-1,3,9,6.767744462553654,1.5876209160778672,completed,
